nom,leonoreid,bnfids
Alfred Dodds,LH/782/44,152972260
Jean Baptiste Treilhard,LH/2626/25,122118442
Jean-Baptiste Treilhard,LH/2626/25,122118442
Henri Dupuy de Lôme,LH/863/87,15354812k
Lucien Cayeux,19800035/456/61061,12315358h
Gaston Bonnier,LH/290/18,11999513m
Jean Delsarte,19800035/930/8376,127478320
Jean Aicard,LH/11/88,11888214h
Philibert Chabert,LH/465/30,12462531h
Jean Cruppi,19800035/128/16186,10235561x
Auguste Jean Ameil,LH/29/51,13521798k
Alfred Ernout,19800035/1221/40923,119018458
Athanase Dupre,LH/859/67,10350172v
Alcide Dusolier,LH/877/45,12133961n
Charles Humbert,LH/1325/3,13744688g
Jules Saliège,19800035/230/30415,122088525
Barend Cornelis Koekkoek,LH/1405/42,135336144
Paul Foucart,LH/1005/33,12137811s
Charles Raymond de Saint-Vallier,LH/632/87,13212090d
Charles Dupin,LH/852/55,12170927k
Henri Stein,19800035/387/51863,12276366f
Jérôme David,LH/673/33,10466787c
Jérôme Frédéric Paul David,LH/673/33,10466787c
Louis-François Lejeune,LH/1569/31,144122479
Félix Amiot,19800035/1247/43910,13605498g
Pierre Adet,LH/8/27,105191100
Pierre Auguste Adet,LH/8/27,105191100
Auguste Darzens,19800035/65/8014,13325686x
Philippe Barbier,19800035/241/32027,13479231q
Maxime Du Camp,LH/414/71,119006982
Jules-Alexis Muenier,19800035/746/84696,14543662b
James de Rothschild,LH/2387/35,165125018
Lucien Cuénot,LH/638/43,122915666
Lucien Lacaze,19800035/87/10869,12976766r
Théodore Deck,LH/683/32,119360378
Léon Dufour,LH/834/23,11974260p
Gustave Léon Niox,LH/1992/12,15241386n
Pierre Batiffol,LH/135/54,12140562c
Marc Rucart,19800035/607/68568,10874318v
Henri Azéma,19800035/264/35226,13170557j
"Jean Baptiste Gaye, vicomte de Martignac",LH/1102/54,14424163z
Jean-Baptiste Sylvère Gaye de Martignac,LH/1102/54,14424163z
Charles Renard,LH/2291/39,10607837f
Jean-Baptiste de Belloy,LH/173/66,148530376
François Andrieux,LH/36/83,11888836g
Adrien Dauzats,LH/670/80,11898770k
Jean-Vincent Scheil,19800035/238/31633,130123859
Francisque Michel,LH/1865/5,124272970
Paul Teste,LH/2580/41,10718794m
Charles-Auguste Questel,LH/2248/12,12732459h
Maurice Farman,19800035/159/20385,158280895
Pierre Marie Arthur Morelet,LH/1935/15,153569517
Charles Alexandre Lesueur,LH/1618/17,15399533r
Charles-Henri-Joseph Binet,19800035/1410/62998,107043214
Charles Chamberland,LH/472/86,13185013z
Charles Grandmougin,LH/1188/86,13489747p
Charles Lamoureux,LH/1462/63,14429321s
Charles Mutin,19800035/284/38157,150094364
Henri Parmentier,19800035/1177/36325,121477393
Claudius Jacquand,LH/1340/26,165703511
Jean-Baptiste-Moïse Jollivet,LH/1370/53,12528865f
Henri Capitant,19800035/456/60992,12388882x
Hubert-Pascal Ameilhon,LH/29/55,12497886f
Paul Lecomte,19800035/169/21711,123299094
"Louis Philippe, comte de Ségur",LH/2493/71,12185861w
Louis-Philippe de Ségur,LH/2493/71,12185861w
Paul Bezanson,LH/230/54,16600840g
Paul Théodore Auguste Bezanson,LH/230/54,16600840g
Hugues-Bernard Maret,LH/1736/57,12544121b
Edgard de Larminat,19800035/434/58031,113011579
Edmond Hébert,LH/1275/5,153262970
Eugène Rouyer,LH/2416/57,10978668c
Pierre Lefèvre-Pontalis,19800035/23/2980,12132277v
Jean Antoine Michel Agar,LH/9/67,10718075d
Jean-Michel Agar,LH/9/67,10718075d
Emmanuel Hannaux,LH/1264/2,14975519q
François de La Rocque,LH/1485/51,12172250n
Alexandre Darracq,19800035/245/32547,162004353
Louis Emmanuel Jadin,LH/1347/65,13488146f
Joseph-Marie de Gérando,LH/1117/38,12156327z
Ernest Blum,LH/262/53,14653265n
Ernest Hamy,LH/1263/20,119068235
Jean-Baptiste de Nompère de Champagny,LH/2001/50,118959754
Jean-Baptiste Nompère de Champagny,LH/2001/50,118959754
Henri-Irénée Marrou,19800035/1448/67523,119147019
Guillaume-Mathieu Dumas,LH/843/35,125108581
Mathieu Dumas,LH/843/35,125108581
Jean Baptiste Soehnlin,LH/2531/11,105372435
François Broussais,LH/375/12,12051880d
François Fertiault,LH/965/2,11902671h
Maurice Klippel,19800035/235/31103,12566522p
Félix Deltour,LH/722/23,12196817v
Félix-Henri Giacomotti,LH/1128/57,14895094b
Hippolyte Destailleur,LH/760/1,14541542z
Gabriel Bonvalot,LH/292/22,122750144
Jules Guiffrey,LH/1229/81,121570428
Gaston Arman de Caillavet,LH/49/74,118947969
Georges Docquois,LH/782/33,12126211p
Laurent Truguet,LH/2636/55,153173541
Louis-Pierre Baltard,LH/100/69,12967532x
Jean-Baptiste Louis Lel,LH/1206/81,130129718
Jean-Eugène Buland,19800035/243/32294,14970770t
Jean Dagnaux,LH/646/9,13561861b
Jean Adrien Antoine Jules Jusserand,LH/1392/11,120031891
Jean Jules Jusserand,LH/1392/11,120031891
Jean-Louis Borel,LH/296/25,15309094q
Jean-Baptiste Marc Bourgery,LH/329/34,12405370b
Jean-Marie-Joseph Coutelle,LH/621/28,14651260f
Paul Cambon,LH/413/21,12400071n
Joseph Fernand Gaston Robert Couget,19800035/736/83598,101973988
Joséphin Soulary,LH/2539/24,13013401z
Anatole de Barthélemy,LH/126/61,121533037
François-Isidore de Ricard,LH/2317/36,10743240q
Léon-François Sibour,LH/2513/50,10677927v
François Adrien Polycarpe Chabaille,LH/463/18,125547901
Polycarpe Chabaille,LH/463/18,125547901
Alfred Chilhaud Dumaine,LH/527/68,11003811w
Ernest Christophe,LH/537/49,14971655w
Jules Cantini,LH/419/98,15495713w
Bach,19800035/96/12025,124071630
Lucien Magne,LH/1686/12,124335941
Raoul Le Mouton de Boisdeffre,LH/1585/31,15753846b
Marie-Louise Jaÿ,LH/560/12,17027558x
Maurice Leblanc,LH/1514/85,16214913b
Charles-François Delacroix,LH/695/12,106670453
Moïse Schwab,LH/2488/6,12507918j
Louis de Grandmaison,LH/1670/34,119056748
Georges Mathias,LH/1788/29,14820153c
Adrien Moreau,LH/1930/15,13756503p
Évariste-Vital Luminais,LH/1675/69,15511194m
Paul Jouve,19800035/1192/37869,146475359
Ernest Laurent,LH/1500/81,14906637q
Eugénie Buffet,LH/389/51,12408356h
Coquelin cadet,LH/586/55,121099635
Léon Riesener,LH/2328/5,150139515
Adolphe de Leuven,LH/2313/57,12365535f
Emmanuel de Rougé,LH/2394/46,123351571
Alexandre Falguière,LH/928/47,14005799r
Rémy Perrier,19800035/308/41540,126309179
Henry Kistemaeckers fils,LH/1402/4,124492251
Jean-Baptiste Senderens,19800035/210/27528,106712593
Guillaume-Marie-Romain Sourrieu,LH/2543/41,13003379d
Auguste Louis Sabatier,LH/2427/27,12193223d
Edmond Marcelin Dehault de Pressensé,LH/2222/71,12111907z
Camille Arambourg,19800035/971/12600,137573699
Nicolas Frochot,LH/1039/57,131640855
Jean-Jacques Lenoir-Laroche,LH/1589/42,12562007f
Pierre Carbonnier,LH/425/26,104648964
Félix Charpentier,LH/494/69,14971519r
Louis Noël,LH/1664/56,14473572t | 149190041
Jules Quicherat,LH/2249/6,12953354h
Auguste Casimir-Perier,LH/2098/65,125374550
Jean Dries,19800035/1173/35854,120132316
Émile-Félix Gautier,19800035/450/60277,124225321 | 153006648
Victor Bérard,LH/184/54,11891327n
Alphonse de Rothschild,LH/2387/5,14928904g
Armand Samuel de Marescot,LH/1736/25,120014552
Jean Gabriel Marchand,LH/1729/66,17036085d
Victor-Félix Bernadou,LH/193/56,10734104m
Emile Gaillard,LH/1054/17,161788493
Bernard Lavergne,19800035/1322/53089,12463230k
Charles Brune,19800035/132/16655,113338591
Benoît Langénieux,LH/1468/91,12746934q
Alphonse François,LH/1027/80,170420442
Gabriel-Jules Thomas,LH/2597/65,13006789j
Marcel Dieulafoy,LH/776/37,12459909x
Albert Millaud,LH/1876/60,12943930z
Georges Serullas,LH/2508/47,10593907h
Antoine Lemoine,19800035/176/22791,16205590q
Julien Noël Costantin,19800035/160/20483,13163220w
Emmanuel de Martonne,19800035/1424/64754,122811886
Auguste Dubail,C/0/30,15241827h
Joseph Pisani de La Gaude,LH/2172/8,17774991c
Emmanuel Théaulon,LH/2583/54,11926319z
Marcel Haegelen,19800035/18/2261,11065267k
Marin Molliard,19800035/755/85627,130786656
Abbé Hamon,LH/1262/53,12287936m
Adolphe Jauréguy,19800035/1436/66268,13008872k
Adolphe Marty,19800035/558/63502,13962361w
Adrien Karbowsky,19800035/153/19551,135129714
Agricol-Joseph Fortia d'Urban,LH/1002/50,121468483
Albert Bettannier,LH/227/18,149696815
Albert Chavanac,19800035/1149/31414,11499224k
Albert Isnard,19800035/340/45767,12459373c
Albert Moreau,LH/1929/35,137418393
Alexandre-Antoine Hureau de Sénarmont,LH/1328/18,10720941v
Alexandre Bigot,19800035/195/25497,15290882f
Alexandre Bigot,19800035/723/82247,110474018
Alexandre Parent du Châtelet,LH/2050/50,12529045v
Alexandre Vattemare,LH/2678/32,10726918s
Alexis Muzet,LH/1971/32,13211614q
Alfred Richet,LH/2325/44,13164460x
Alfred Fronval,LH/1042/59,16549649v
Alfred Lartigue,19800035/755/85612,104026120
Alfred LeBlanc,LH/1514/72,110212266
Alfred Monnet,LH/1909/33,13007268f
Alfred Sudre,LH/2556/54,12567508c
Alix Joffroy,LH/1368/62,12738449n
Charles-Emmanuel Sédillot,LH/2491/6,12337301f
Amédée Jérôme Langlois,LH/1469/91,12429519h
Amédée Willot,LH/2758/5,10074289q
Anatole Guindey,LH/1245/1,134242811
Anatole de La Forge,LH/1437/62,10528554p
André Lacroix,LH/1427/71,11910531q
André Loyen,19800035/1246/43843,127569598
André Maublanc,19800035/178/23023,124881229
André Mouëzy-Éon,19800035/864/1521,12129155r
André Pottier,LH/2207/56,11998959s
André Pératé,19800035/562/64024,121644467
Andrée Bordeaux-Le Pecq,19800035/1188/37523,14952468h
Andrée de Chauveron,19800035/661/76007,140310446
Anne-Charles Hérisson,LH/1292/38,16759908n
Antoine-Théodore Bernex,LH/202/23,10175862r
Antoine Noguès,LH/1999/2,13013592c
Antony Martinet,LH/1768/54,10693189n
Antony Klobukowski,LH/1404/12,13010702d
Armand Besnard,LH/221/57,13209925x
Armand Moisant,LH/1895/67,14573445t
Armand Reclus,LH/2281/43,13494046d
Armand de Mackau,LH/1681/57,14446787h
Arsène Lambert,LH/1455/35,135147356
Arthur Girault,LH/1150/37,130127513
Arthur Le Duc,LH/1544/12,133338448 | 13333846z
Nelzir Allard,LH/21/75,10743389b
Charles Broquart des Bussières,LH/372/27,107272241
Jean Deltheil,LH/722/14,10659173w
Jean Landry Gillon,LH/1136/56,105000799
Jules Aymé de la Herlière,LH/83/10,16297423n
Gustave Brochant de Villiers,LH/370/8,112639185
Louis Frémy,LH/1033/83,13210522t
Stanislas Lédier,LH/1542/10,107798157
Barthélémy Arnault,LH/54/27,150679081
Georges Barthélemy,LH/127/21,11146435h
Georges Batiot,LH/135/63,11812758m
Joseph-Louis Bonnet,LH/288/92,166650412
Charles Bouchet de Grandmay,LH/306/120,11169901q
Félix Chalamel,LH/469/47,16102590t
Édouard Lachaud,19800035/110/13801,16102925g
Louis Mill,19800035/560/63813,13211526f
Camille Simonin,19800035/567/64531,165695490
Hector Berlioz,LH/192/74,138914125
Georges Pompidou,C/0/25,11920221s
Claude Debussy,LH/681/19,13893072d
Henri Philippe Pétain,C/0/17,12014186f
Philippe Pétain,C/0/17,12014186f
Augustin Louis Cauchy,LH/451/10,11895590x
David Émile Durkheim,LH/874/13,11901387t
Émile Boirac,19800035/200/26204,130091408
Alexandre Gustave Bonickhausen Eiffel,LH/892/60,12522897m
Robert Esnault-Pelterie,19800035/127/16027,11200423d
Henri Bergson,LH/191/38,11891433v
Robert Georges Nivelle,LH/1993/18,106827128 | 12561872v
François-René de Chateaubriand,LH/502/50,11896324t
Zacharie Astruc,LH/62/12,12105995t
Aleksander Chodźko,LH/529/65,13075665g
Charles-Frédéric Reinhard,LH/2288/67,12312447d
Michel Joseph Maunoury,LH/1799/22,12977224p
François Achille Bazaine,LH/150/12,13743827k
François-Achille Bazaine,LH/150/12,13743827k
Eugène Janvier de La Motte,LH/1353/98,13210892t
Bartók Béla,LH/128/77,13891198w
Urbain Le Verrier,LH/1626/79,13009244x
Maurice Utrillo,LH/2657/7,119584498
Bernard Pierre Magnan,LH/1685/37,10720224b
Georges Charpy,19800035/451/60340,12459206z
Charles Édouard Guillaume,LH/1233/67,129240471
Sylvain Eugène Raynal,LH/2274/39,15798240n
Auguste Longnon,LH/1656/36,12301016k
Louis Rousselet,LH/2392/42,12443310t
Gabriel Bertrand,19800035/436/58318,12381158f
Marc-Antoine Berdolet,LH/185/49,12524487p
Félix Edouard Justin Émile Borel,19800035/168/21667,12088647b
Patrice de Mac Mahon,C/0/4,13557696p
Joseph Louis Proust,LH/2233/51,105340149
Pierre Dac,19800035/1301/50196,118983965
Eugène Poubelle,LH/2208/25,105552971
Jean-Pierre Melville,19800035/1176/36112,122081589
Henri-Jacques Espérandieu,LH/906/15,131681424
Vincenzo Salvatore Carmelo Francesco Bellini,LH/172/43,13891318z
Thomas Edward Lawrence,LH/1509/35,11911458q
Paul Tannery,LH/2567/6,11926003r
André Mazon,19800035/882/3412,11915395m
Alexis Carrel,19800035/789/89205,125711128
Henri Harpignies,LH/1269/8,11954782z
Raymond Poincaré,C/0/11,11920109n
Élie Decazes,LH/682/2,13484480g
"Élie, duc Decazes",LH/682/2,13484480g
Édouard Estaunié,19800035/463/61886,119019388
Ferdinand de Lesseps,LH/1616/85,12068024m
Paul Pau,LH/2779/6,12738387x
Joris-Karl Huysmans,LH/1331/52,119081184
Emmerich Joseph de Dalberg,LH/648/10,10708134w
Charles-Marie Widor,LH/2752/53,139011448
Frédéric Auguste Bartholdi,LH/128/45,125053350
Olry Terquem,LH/2576/72,12459950c
Ludovic Savatier,LH/2471/47,10689330s | 13481130c
Frédéric Martens,LH/1755/11,123260611 | 14976290h
Charles-François Daubigny,LH/665/84,11937543t
Charles Colin,LH/563/70,14755841z
Justin Girod-Chantrans,LH/1151/47,11905101p
Émile Bernard,19800035/1463/69262,12088410f | 154596879
Pierre Auguste Cot,LH/600/20,149719682
Édouard-Alfred Martel,19800035/253/33686,119147379
Édouard Roche,LH/2359/31,12992905j
Édouard Colonne,LH/573/71,144293135
Édouard-Jean-Étienne Deligny,LH/713/45,10708160f
Édouard de Verneuil,LH/2212/46,13516818c
Émile Bréhier,19800035/7/801,118938741
Natalis de Wailly,LH/2744/10,122088974
Basil Zaharoff,LH/2766/3,16676465m
Casimir Périer,LH/2098/68,13015188h
Casimir Pierre Périer,LH/2098/68,13015188h
Émile Haug,19800035/293/39409,123519221
Emile Herbillon,LH/1290/70,10617467g
Émile Meyerson,LH/1856/45,11915891m
Hippolyte Sebert,LH/2490/58,10635413g
Étienne André François de Paule Fallot de Beaumont de Beaupré,LH/929/28,17781419r
Hélène Vacaresco,19800035/752/85259,12114775m
Gaston Doumergue,C/0/14,12153584m
Paul Broca,LH/369/64,11894093b
Gustave Charpentier,19800035/161/20663,13892401r
Eugène Sue,LH/2793/132,11925725r
Georges Boulanger,LH/315/87,12442993r
Georges Ernest Boulanger,LH/315/87,12442993r
Hector Guimard,19800035/764/86868,119921234
Jules Lewal,LH/1630/26,12362946g
Ambroise Louis Garneray,LH/1075/63,11904162n
Henri Abraham,19800035/51/6235,121386135
Louis Hector Leroux,LH/1605/51,122015530
Michel Bréal,LH/354/70,11893846s
Louis Simon Auger,LH/74/48,12516826v
Agénor Azéma de Montgravier,LH/84/59,122451123
Alexandre Desrousseaux,LH/758/7,12172286n
Alexandre Elisabeth Michel Digeon,LH/776/74,107113866
Alfred Coville,LH/623/52,118980741
Alphonse-Amédée Cordonnier,LH/589/97,161815531
Alphonse Fleuriot de Langle,LH/983/10,121710369
Ambroise Firmin Didot,LH/773/50,12115435s
Anatole Chabouillet,LH/466/35,105218911
Antoine-Henri-Philippe-Léon d'Aure,LH/438/48,12115194g
Antoine Chazal,LH/513/60,12099989j
Antoine Delpierre,LH/720/18,125301513
Antoine Delpierre,LH/720/19,125301513
Antoine Simon Durrieu,LH/875/52,11314213w
Antoine Simon Durrieu,LH/875/60,11314213w
Armand Deffis,LH/687/20,105661616
Arthus Barthélémy Vingtrinier,LH/2727/22,10695392k
Athanase Cucheval-Clarigny,LH/638/19,130116580
Augusta Dejerine-Klumpke,LH/689/13,11899138p
Auguste-Nicolas Vaillant,LH/2661/17,10624667h
Auguste Autrand,19800035/54/6569,11044422h
Auguste Boppe,LH/293/3,12135605t
Auguste Bosc,19800035/1478/71608,14814728k
Auguste Celos,19800035/276/36929,14977805b
Auguste Jal,LH/1349/14,119085214
Auguste Mermet,LH/1841/28,14817080g
Auguste Nisard,LH/1992/33,10709408d
Augustin Asselin,LH/60/48,137437995
Augustin Challamel,LH/470/34,12185860j | 148440555 | 177590952
Augustin Gazier,LH/1104/11,12422113n
Augustin Renaudet,19800035/123/15545,12316757h
Benjamin-Constant Martha,LH/1755/21,12175969q
Benjamin-Pierre Perrot,LH/2113/23,13283555z
Benjamin Ulmann,LH/2640/57,149387044
Bernard Barny de Romanet,LH/117/43,149776409
Camille Enlart,LH/898/44,124384959
Bertrand Auerbach,LH/73/28,122055669
Bertrand Pujo,19800035/605/68339,121198664
Bertrand Villemain,LH/2719/18,112826086
Camille-Augustin de Meaux,LH/1814/54,106323829
Camille-Félix Bellanger,19800035/194/25375,14969345g
Camille Groult,LH/1211/2,165974266
Camille Lian,19800035/995/15167,10912043p | 11921022t
Camille Savoire,19800035/46/5671,12208030n
Charles-Eugène Galiber,LH/1058/39,13210557g
Charles Balsan,LH/100/64,13209813n
Charles Burguet,19800035/177/22870,146534280
Chaloum ben Delak,19800035/636/73574,10800293x
Charles Delac,19800035/636/73574,10800293x
Charles Franquet de Franqueville,LH/1029/78,121334571
Charles Guernier,LH/1222/51,104368364
Charles Joseph Fortuné d'Herbouville,LH/1291/23,12462567h
Charles Nicod,19800035/889/4132,15376137w
Charles Rebuffel,19800035/305/41092,118291801
Charles Siblot,19800035/1320/52913,14654021q
Charles Silvestre,19800035/349/46998,12736483b
Christian Champy,19800035/378/50688,134013846 | 17820753f
Claude Grange,19800035/1113/27502,10954369h
Claude Étienne Guyot,LH/1253/39,135292624
Clément Georges Lemoine,LH/1581/37,12323167n
Abel Aubert du Petit-Thouars,LH/65/29,15318392t
Abel Aubert Dupetit Thouars,LH/65/29,15318392t
Abel Durand,19800035/1336/54909,10851423k
Achille Libéral Treilhard,LH/2626/12,10671906f
Achille Luchaire,LH/1673/49,119135872
Achille Ouvré,19800035/80/10020,122169289
Adolphe Bühl,19800035/845/96773,12149008c
Adolphe Dervaux,19800035/1288/48791,11056276k
Adolphe d'Eichthal,LH/892/57,15599385s
Adrien Bonhoure,19800035/271/36298,10387122m
Adrien Dansette,19800035/1361/57544,12299547v
Adrien Duchesne de Gillevoisin,LH/824/16,107438542
Adrien Gaudin de Villaine,LH/1090/16,132105831
Adrien Marie Devienne,LH/766/20,105663801
Aimé-Henry Résal,LH/2303/25,125489832
Aimé Malécot,19800035/320/43072,10913716z
Aimé Picquet du Boisguy,LH/2084/65,12418882n
Albert Aublet,LH/66/86,149685929
Albert Carré,LH/433/63,11895300k
Albert Gabriel,19800035/1445/67210,11008185q
Albert Louvet,19800035/27/3431,10631849m
Albert Thierry,19800035/711/81051,120579041
Alexandre Germain,LH/1123/9,120180802
Alexandre Noll,19800035/1063/22438,13514943c | 14975474k
Alexis-Basile-Alexandre Menjaud,LH/1826/17,10722425q
Alexis Maneyrol,LH/1715/47,12651874h
Alfred-Désiré Lanson,LH/1473/66,169117645
Alfred Duméril,LH/844/55,12462859q
Alfred Duquesnay,LH/864/18,13015411r
Alfred de Chastellux,LH/501/74,10727265m
Alphonse Boistel,LH/273/23,13024961n
Alphonse Cordier,LH/589/8,10430795x
Alphonse Le Touzé de Longuemar,LH/1622/45,13561326f
Alphonse Lequeutre,LH/1601/40,160727883
Alphonse de Cardevac d'Havrincourt,LH/425/93,10729129z
Amable-Emmanuel Troude,LH/2634/2,12643123z
Amé-Thérèse-Joseph Masclet,LH/1774/46,10653162s
Amédée Greyfié de Bellecombe,LH/1199/81,16713793w
Amédée Tardieu,LH/2568/10,13165453w
Amédée de Broglie,LH/371/17,150174852
Victor Amédée Marie Broglie,LH/371/17,150174852
Anatole Leroy-Beaulieu,LH/1610/14,11912605x
André Allix,19800035/668/76799,12482325f
André Chevrillon,19800035/265/35353,11896661v
André Foulon de Vaulx,LH/1009/33,10066125g
André Ragot,19800035/1082/24420,12081106p
André Soulas,LH/2539/25,12545590h
Andrée Viollis,LH/47/22,127320520
Ange François Blein,LH/256/94,153091344
Antoine-François Delandine,LH/700/41,12436016k
Antoine-Jean-Baptiste-Joseph Gravier,LH/1193/85,107050117
Antoine-Jean-François Ménager,LH/1822/9,14954843r
Antoine-Nicolas Bailly,LH/93/56,105818484
Antoine-Élie Lamblardie,LH/1458/56,10604269p
Antoine Boutonnet,LH/341/1,11250917w
Antoine Héron de Villefosse,LH/1294/25,121710876
Auguste Brunet,19800035/149/18983,10995484r
Auguste Gaudel,19800035/1258/45122,12950447s
Auguste Wicky,19800035/1327/53669,136166049
Berthold Mahn,19800035/1447/67439,119139399
Jacques Chaumié,LH/507/10,103896365
Adrien Constans,LH/582/2,169329840
Charles Dupont de l'Eure,LH/857/23,15024020v
Pierre Hippolyte Faure,LH/942/44,13501468d
Charles Fournier,LH/1015/40,13165134s
Adolphe Girod,LH/1151/9,157960727
Antoine Jourde,LH/1382/22,13210924m
Charles Lenient,LH/1588/2,12433811b
Achille Lefort,LH/1552/49,14490241d
Stéphen-Albert Thirion-Montauban,LH/2594/72,10689957g
Joseph-Marie Graveran,LH/1193/64,10717376b
Louis-Joseph Duhamel,LH/1261/56,10640234w
Casimir Chevalier,LH/521/22,12988754f
Lucien Degoutte,19800035/409/54784,16719593s
Pierre Bourdon,LH/325/72,10387522q
Jean Jullien,LH/1389/56,121156747
Camille Matignon,LH/1793/44,12169898s
Casimir Wicart,LH/2755/35,116637007
Charles-Philippe de Chennevières-Pointel,LH/517/72,118965351
Charles Alexandre,LH/17/72,12564863m
Charles Bonaventure Marie Toullier,LH/2616/36,12157752h
Charles Borne,LH/298/9,13209984f
Charles Chesnelong,LH/520/35,124591656
Pierre Charles Chesnelong,LH/520/35,124591656
Charles Cochon de Lapparent,LH/558/60,125108717
