nom,leonoreid,datenaissance,ville,coordinatelieuN,datedeces,villedc,coordinatelieudc
Bertrand Clausel,LH/545/29,1772-12-12T00:00:00Z,Mirepoix,Point(1.873611111 43.088611111),1842-04-21T00:00:00Z,Cintegabelle,Point(1.530555555 43.312777777)
Georges de Villebois-Mareuil,LH/2718/29,1847-03-22T00:00:00Z,Nantes,Point(-1.553888888 47.217222222),1900-04-06T00:00:00Z,Boshof,Point(25.233333333 -28.55)
Edme François Jomard,LH/1373/8,1777-11-17T00:00:00Z,Versailles,Point(2.134166666 48.804722222),1862-09-23T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Étienne Œhmichen,19800035/80/9976,1884-10-15T00:00:00Z,Châlons-en-Champagne,Point(4.364444444 48.956666666),1955-07-10T00:00:00Z,Paris,Point(2.351388888 48.856944444)
André Masséna,LH/1778/31,1758-05-06T00:00:00Z,Nice,Point(7.268333333 43.701944444),1817-04-04T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Frédéric Martens,LH/1755/11,1806-12-16T00:00:00Z,Venise,Point(12.331944444 45.439722222),1885-01-12T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Maurice Hennequin,19800035/551/62902,1863-12-10T00:00:00Z,Liège,Point(5.570555555 50.639722222),1926-09-03T00:00:00Z,Montreux,Point(6.916666666 46.433333333)
Jean Perrin,LH/2110/21,1870-09-30T00:00:00Z,Lille,Point(3.0575 50.631944444),1942-04-17T00:00:00Z,New York,Point(-73.94 40.67)
Simon Newcomb,LH/1984/13,1835-03-12T00:00:00Z,Wallace,Point(-63.4701 45.8128),1909-07-11T00:00:00Z,Washington,Point(-77.036666666 38.895)
Honoré Charles Reille,LH/2288/24,1775-09-01T00:00:00Z,Antibes,Point(7.123055555 43.58),1860-03-04T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Honoré Charles Reille,LH/2288/24,1774-09-01T00:00:00Z,Antibes,Point(7.123055555 43.58),1860-03-04T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Honoré Charles Reille,LH/2288/25,1775-09-01T00:00:00Z,Antibes,Point(7.123055555 43.58),1860-03-04T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Honoré Charles Reille,LH/2288/25,1774-09-01T00:00:00Z,Antibes,Point(7.123055555 43.58),1860-03-04T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jean-Pierre Doumerc,LH/798/51,1767-10-07T00:00:00Z,Montauban,Point(1.355 44.017222222),1847-03-29T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jules Breton,LH/360/55,1827-05-01T00:00:00Z,Courrières,Point(2.947222222 50.458055555),1906-07-05T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jean-Louis Victor Grisart,LH/1203/65,1797-06-28T00:00:00Z,Paris,Point(2.351388888 48.856944444),1877-05-14T00:00:00Z,Paris,Point(2.351388888 48.856944444)
François Étienne de Rosily-Mesros,LH/2383/64,1748-01-13T00:00:00Z,Brest,Point(-4.486944444 48.39),1832-11-12T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Casimir Périer,LH/2098/68,1777-10-11T00:00:00Z,Grenoble,Point(5.726388888 45.186944444),1832-05-16T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Casimir Pierre Périer,LH/2098/68,1777-10-11T00:00:00Z,Grenoble,Point(5.726388888 45.186944444),1832-05-16T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Maurice Rollet de l'Isle,19800035/267/35687,1859-11-19T00:00:00Z,Paris,Point(2.351388888 48.856944444),1943-11-24T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Gilioli,19800035/1472/70459,1911-06-10T00:00:00Z,Paris,Point(2.351388888 48.856944444),1977-01-19T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Emile Herbillon,LH/1290/70,1794-03-23T00:00:00Z,Châlons-en-Champagne,Point(4.364444444 48.956666666),1866-04-24T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Javal,LH/1358/60,1839-05-05T00:00:00Z,Paris,Point(2.351388888 48.856944444),1907-01-20T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Louis Émile Javal,LH/1358/60,1839-05-05T00:00:00Z,Paris,Point(2.351388888 48.856944444),1907-01-20T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Jungfleisch,LH/1391/20,1839-12-21T00:00:00Z,Paris,Point(2.351388888 48.856944444),1916-04-24T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Laffon,19800035/173/22332,1907-06-20T00:00:00Z,Carcassonne,Point(2.351388888 43.215833333),1957-08-20T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Lemoine,LH/1581/45,1840-11-22T00:00:00Z,Quimper,Point(-4.097777777 47.995833333),1912-02-21T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Lemoine,LH/1581/45,1840-11-22T00:00:00Z,Quimper,Point(-4.097777777 47.995833333),1912-12-21T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Levassor,LH/1625/1,1843-01-21T00:00:00Z,Marolles-en-Hurepoix,Point(2.298333333 48.5625),1897-04-14T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Marchoux,19800035/390/52315,1862-03-24T00:00:00Z,Saint-Amant-de-Boixe,Point(0.134722222 45.798055555),1943-08-19T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Ogier,LH/2012/12,1862-01-06T00:00:00Z,2e arrondissement de Paris,Point(2.34047 48.86688),1932-03-30T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Paladilhe,LH/2038/37,1844-06-03T00:00:00Z,Montpellier,Point(3.877230555 43.610919444),1926-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Paladilhe,LH/2038/37,1844-06-03T00:00:00Z,Montpellier,Point(3.877230555 43.610919444),1926-01-06T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Paladilhe,LH/2038/37,1844-06-03T00:00:00Z,Montpellier,Point(3.877230555 43.610919444),1926-01-08T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Paladilhe,LH/2038/37,1844-01-01T00:00:00Z,Montpellier,Point(3.877230555 43.610919444),1926-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Paladilhe,LH/2038/37,1844-01-01T00:00:00Z,Montpellier,Point(3.877230555 43.610919444),1926-01-06T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Paladilhe,LH/2038/37,1844-01-01T00:00:00Z,Montpellier,Point(3.877230555 43.610919444),1926-01-08T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Pessard,LH/2119/30,1843-05-29T00:00:00Z,Paris,Point(2.351388888 48.856944444),1917-02-10T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Picard,LH/2144/15,1856-07-24T00:00:00Z,Paris,Point(2.351388888 48.856944444),1941-12-11T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Prudent,LH/2234/13,1817-02-03T00:00:00Z,Angoulême,Point(0.159444444 45.649444444),1863-05-14T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Roux,LH/2413/22,1853-12-17T00:00:00Z,Confolens,Point(0.672222222 46.013611111),1933-11-03T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Senart,LH/2500/3,1847-03-26T00:00:00Z,Reims,Point(4.028611111 49.265277777),1928-02-21T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Léon Gautier,LH/1095/15,1832-08-08T00:00:00Z,Le Havre,Point(0.108055555 49.494166666),1897-08-25T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Vuillermoz,19800035/338/45485,1878-05-23T00:00:00Z,Lyon,Point(4.841388888 45.758888888),1960-03-02T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile Worms,LH/2762/49,,,,1918-05-09T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Pierre Loti,LH/2705/91,1850-01-14T00:00:00Z,Rochefort,Point(-0.966944444 45.941944444),1923-06-10T00:00:00Z,Hendaye,Point(-1.774444444 43.358611111)
Joseph Marie Jacquard,LH/1340/38,1752-07-07T00:00:00Z,Lyon,Point(4.841388888 45.758888888),1834-08-07T00:00:00Z,Oullins,Point(4.8075 45.714166666)
Pierre Carlier,LH/429/27,1799-01-01T00:00:00Z,Champigny,Point(3.1275 48.319444444),1858-01-01T00:00:00Z,Sens,Point(3.283333333 48.197222222)
Xavier Givaudan,19800035/1440/66799,1867-02-08T00:00:00Z,Caluire-et-Cuire,Point(4.846388888 45.794722222),1966-07-16T00:00:00Z,Genève,Point(6.15 46.2)
Paul Dupuy,19800035/246/32673,1856-01-18T00:00:00Z,Loudun,Point(0.083611111 47.01),1948-03-17T00:00:00Z,Genève,Point(6.15 46.2)
Paul Dupuy,19800035/246/32673,1856-01-18T00:00:00Z,Loudun,Point(0.083611111 47.01),1948-03-18T00:00:00Z,Genève,Point(6.15 46.2)
Henri Cazalis,LH/457/34,1840-03-09T00:00:00Z,Cormeilles-en-Parisis,Point(2.200555555 48.973055555),1909-07-01T00:00:00Z,Genève,Point(6.15 46.2)
Alfred Chanzy,LH/482/32,1823-03-18T00:00:00Z,Nouart,Point(5.049722222 49.44),1883-01-04T00:00:00Z,Châlons-en-Champagne,Point(4.364444444 48.956666666)
Alfred Chanzy,LH/482/32,1823-03-18T00:00:00Z,Nouart,Point(5.049722222 49.44),1883-01-05T00:00:00Z,Châlons-en-Champagne,Point(4.364444444 48.956666666)
Antoine Chanzy,LH/482/32,1823-03-18T00:00:00Z,Nouart,Point(5.049722222 49.44),1883-01-04T00:00:00Z,Châlons-en-Champagne,Point(4.364444444 48.956666666)
Antoine Chanzy,LH/482/32,1823-03-18T00:00:00Z,Nouart,Point(5.049722222 49.44),1883-01-05T00:00:00Z,Châlons-en-Champagne,Point(4.364444444 48.956666666)
Henri Martin,19800035/253/33692,1860-08-05T00:00:00Z,Toulouse,Point(1.443888888 43.604444444),1943-11-12T00:00:00Z,France,Point(2.0 47.0)
Paul Vidal de La Blache,LH/2700/17,1845-01-22T00:00:00Z,Pézenas,Point(3.422777777 43.459444444),1918-04-05T00:00:00Z,La Seyne-sur-Mer,Point(5.878333333 43.103055555)
Paul Tannery,LH/2567/6,1843-12-20T00:00:00Z,Mantes-la-Jolie,Point(1.716666666 48.990555555),1904-11-27T00:00:00Z,Pantin,Point(2.407222222 48.898055555)
Yvette Guilbert,19800035/759/86185,1865-01-20T00:00:00Z,Paris,Point(2.351388888 48.856944444),1944-02-02T00:00:00Z,Aix-en-Provence,Point(5.445555555 43.527777777)
Émile de Girardin,LH/1146/58,1802-06-22T00:00:00Z,Paris,Point(2.351388888 48.856944444),1881-04-27T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile de Kératry,LH/1396/76,1832-03-24T00:00:00Z,Paris,Point(2.351388888 48.856944444),1904-04-06T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Émile de Kératry,LH/1396/76,1832-03-20T00:00:00Z,Paris,Point(2.351388888 48.856944444),1904-04-06T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Hippolyte Sebert,LH/2490/58,1839-01-30T00:00:00Z,Verberie,Point(2.731388888 49.310555555),1930-01-23T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Paul Taffanel,LH/2562/17,1844-09-16T00:00:00Z,Bordeaux,Point(-0.579444444 44.837777777),1908-11-21T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Paul Taffanel,LH/2562/17,1844-09-16T00:00:00Z,Bordeaux,Point(-0.579444444 44.837777777),1908-11-22T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Louis Anquetin,19800035/271/36211,1861-01-26T00:00:00Z,Étrépagny,Point(1.611388888 49.305833333),1932-08-19T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Étienne-Denis Pasquier,LH/2061/44,1767-04-21T00:00:00Z,Paris,Point(2.351388888 48.856944444),1862-07-05T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Étienne-Jules Marey,LH/1736/73,1830-03-05T00:00:00Z,Beaune,Point(4.838888888 47.024166666),1904-05-15T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Étienne-Jules Marey,LH/1736/73,1830-03-05T00:00:00Z,Beaune,Point(4.838888888 47.024166666),1904-05-21T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Étienne Maurice Gérard,C/0/42,1773-04-04T00:00:00Z,Damvillers,Point(5.399722222 49.342777777),1852-04-17T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Étienne André François de Paule Fallot de Beaumont de Beaupré,LH/929/28,1750-04-01T00:00:00Z,Avignon,Point(4.808333333 43.948611111),1835-10-27T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Étienne Lancereaux,LH/1464/49,1829-11-27T00:00:00Z,Brécy-Brières,Point(4.765555555 49.322777777),1910-10-26T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Étienne Moreau-Nélaton,LH/1931/11,1859-12-02T00:00:00Z,Paris,Point(2.351388888 48.856944444),1927-04-25T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Évariste Huc,LH/1317/16,1813-08-01T00:00:00Z,Caylus,Point(1.770833333 44.235833333),1860-03-25T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Hélène Vacaresco,19800035/752/85259,1868-09-21T00:00:00Z,Bucarest,Point(26.083333333 44.4),1947-02-17T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Emmanuel Joseph Sieyès,LH/2516/40,1748-05-03T00:00:00Z,Fréjus,Point(6.735555555 43.433055555),1836-06-20T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Emmanuel-Joseph Sieyès,LH/2516/40,1748-05-03T00:00:00Z,Fréjus,Point(6.735555555 43.433055555),1836-06-20T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Gustave Le Bon,LH/1517/42,1841-05-07T00:00:00Z,Nogent-le-Rotrou,Point(0.821666666 48.321666666),1931-12-13T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Félix Faure,C/0/8,1841-01-30T00:00:00Z,Paris,Point(2.351388888 48.856944444),1899-02-16T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jacques Ibert,19800035/368/49441,1890-09-15T00:00:00Z,Paris,Point(2.351388888 48.856944444),1962-02-05T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jacques Ibert,19800035/368/49441,1890-08-15T00:00:00Z,Paris,Point(2.351388888 48.856944444),1962-02-05T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Ambroise Thomas,LH/2597/4,1811-08-05T00:00:00Z,Metz,Point(6.176944444 49.119722222),1896-02-12T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Hippolyte Taine,LH/2564/29,1828-04-21T00:00:00Z,Vouziers,Point(4.701111111 49.398055555),1893-03-05T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Marthe Bibesco,19800035/1168/33348,1886-01-28T00:00:00Z,Bucarest,Point(26.083333333 44.4),1973-11-28T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Louis Renault,LH/2292/15,1877-02-12T00:00:00Z,8e arrondissement de Paris,Point(2.311111111 48.874166666),1944-10-24T00:00:00Z,Paris,Point(2.351388888 48.856944444)
André Danjon,19800035/867/1880,1890-04-06T00:00:00Z,Caen,Point(-0.370555555 49.182222222),1967-04-21T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Alfred de Vigny,LH/2714/28,1797-03-27T00:00:00Z,Loches,Point(0.995277777 47.128611111),1863-09-17T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jean Giraudoux,LH/1150/22,1882-10-29T00:00:00Z,Bellac,Point(1.049444444 46.121944444),1944-01-31T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Paul Deschanel,C/0/12,1855-02-13T00:00:00Z,Schaerbeek,Point(4.373611111 50.8675),1922-04-28T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Camille Jordan,LH/1374/19,1838-01-05T00:00:00Z,Lyon,Point(4.841388888 45.758888888),1922-01-22T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jean-Marie Vianney,LH/2704/57,1786-05-08T00:00:00Z,Dardilly,Point(4.753055555 45.805555555),1859-08-04T00:00:00Z,Ars-sur-Formans,Point(4.822777777 45.991944444)
Olry Terquem,LH/2576/72,1782-06-16T00:00:00Z,Metz,Point(6.176944444 49.119722222),1862-05-06T00:00:00Z,14e arrondissement de Paris,Point(2.326888888 48.833022222)
Auguste Pomel,LH/2193/38,1821-09-20T00:00:00Z,Issoire,Point(3.248888888 45.544166666),1898-01-01T00:00:00Z,Draâ El Mizan,Point(3.83333333 36.53333333)
Paul Sébillot,LH/2490/77,1843-02-06T00:00:00Z,Matignon,Point(-2.291666666 48.595833333),1918-04-23T00:00:00Z,Paris,Point(2.351388888 48.856944444)
François Thureau-Dangin,19800035/1328/53824,1872-01-03T00:00:00Z,Paris,Point(2.351388888 48.856944444),1944-01-24T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Maurice Lévy,LH/1629/64,1838-02-28T00:00:00Z,Ribeauvillé,Point(7.318333333 48.195277777),1910-09-30T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jean Giono,19800035/1052/21204,1895-03-30T00:00:00Z,Manosque,Point(5.783055555 43.833333333),1970-10-08T00:00:00Z,Manosque,Point(5.783055555 43.833333333)
Jean Giono,19800035/1052/21204,1895-03-30T00:00:00Z,Manosque,Point(5.783055555 43.833333333),1970-10-09T00:00:00Z,Manosque,Point(5.783055555 43.833333333)
Victor Adolphe Malte-Brun,LH/1711/69,1816-11-25T00:00:00Z,Paris,Point(2.351388888 48.856944444),1889-07-13T00:00:00Z,Marcoussis,Point(2.229722222 48.641666666)
Tsugouharu Foujita,19800035/939/9305,1886-11-27T00:00:00Z,Tokyo,Point(139.774444 35.683889),1968-01-29T00:00:00Z,Zurich,Point(8.54 47.378611111)
藤田嗣治,19800035/939/9305,1886-11-27T00:00:00Z,Tokyo,Point(139.774444 35.683889),1968-01-29T00:00:00Z,Zurich,Point(8.54 47.378611111)
Jules Dupuit,LH/862/25,1804-05-18T00:00:00Z,Fossano,Point(7.733333333 44.55),1866-09-05T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111)
Jules Richard,LH/2322/23,,,,1930-06-18T00:00:00Z,Paris,Point(2.351388888 48.856944444)
François d'Astier de La Vigerie,19800035/198/25889,1886-03-07T00:00:00Z,Le Mans,Point(0.196944444 48.004166666),1956-10-09T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Gabriel Bertrand,19800035/436/58318,1867-05-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),1962-06-20T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Hector Fabre,LH/2784/29,1834-08-09T00:00:00Z,Montréal,Point(-73.561666666 45.508888888),1910-09-02T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Adolphe d'Ennery,LH/2141/57,1811-06-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),1899-01-26T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Abel Niépce de Saint-Victor,LH/1991/2,1805-07-26T00:00:00Z,Saint-Cyr,Point(4.889722222 46.680833333),1870-04-07T00:00:00Z,Paris,Point(2.351388888 48.856944444)
François-Étienne Kellermann,LH/1396/35,1770-08-04T00:00:00Z,Metz,Point(6.176944444 49.119722222),1835-06-02T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Paul Georges Dieulafoy,LH/776/39,1839-11-18T00:00:00Z,Toulouse,Point(1.443888888 43.604444444),1911-08-16T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Zadoc Kahn,LH/1393/55,1839-02-18T00:00:00Z,Mommenheim,Point(7.644166666 48.7575),1905-12-08T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Frédéric Joliot-Curie,19800035/290/38935,1900-03-19T00:00:00Z,Paris,Point(2.351388888 48.856944444),1958-08-14T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Georges Méliès,LH/1819/20,1861-12-08T00:00:00Z,Paris,Point(2.351388888 48.856944444),1938-01-21T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Ferdinand Dutert,LH/879/60,1845-10-21T00:00:00Z,Douai,Point(3.079166666 50.370833333),1906-02-12T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Odilon Redon,LH/2282/58,1840-04-22T00:00:00Z,Bordeaux,Point(-0.579444444 44.837777777),1916-07-06T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Odilon Redon,LH/2282/58,1840-04-20T00:00:00Z,Bordeaux,Point(-0.579444444 44.837777777),1916-07-06T00:00:00Z,Paris,Point(2.351388888 48.856944444)
François Arago,LH/44/56,1786-02-26T00:00:00Z,Estagel,Point(2.698888888 42.772222222),1853-10-02T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Félix Edouard Justin Émile Borel,19800035/168/21667,1871-01-07T00:00:00Z,Saint-Affrique,Point(2.886388888 43.958333333),1956-02-03T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Félix Edouard Justin Émile Borel,19800035/168/21667,1871-01-07T00:00:00Z,Saint-Affrique,Point(2.886388888 43.958333333),1956-02-04T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Georges Rouault,19800035/187/24276,1871-05-27T00:00:00Z,Paris,Point(2.351388888 48.856944444),1958-02-13T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Nicolas Oudinot,C/0/43,1767-04-25T00:00:00Z,Bar-le-Duc,Point(5.167222222 48.771666666),1847-09-13T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Nicolas-Charles Oudinot,C/0/43,1767-04-25T00:00:00Z,Bar-le-Duc,Point(5.167222222 48.771666666),1847-09-13T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Ernest Renan,LH/2294/44,1823-02-28T00:00:00Z,Tréguier,Point(-3.2325 48.785),1892-10-02T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Ernest Renan,LH/2294/48,1823-02-28T00:00:00Z,Tréguier,Point(-3.2325 48.785),1892-10-02T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Daniel-François-Esprit Auber,LH/63/8,1782-01-29T00:00:00Z,Caen,Point(-0.370555555 49.182222222),1871-05-12T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Daniel-François-Esprit Auber,LH/63/8,1782-01-29T00:00:00Z,Caen,Point(-0.370555555 49.182222222),1871-05-13T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Vincent Auriol,C/0/21,1884-08-27T00:00:00Z,Revel,Point(2.004166666 43.458611111),1966-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Louis-Nicolas Davout,LH/675/37,1770-05-10T00:00:00Z,Annoux,Point(4.050555555 47.626388888),1823-06-01T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Horace Vernet,LH/2692/9,1789-06-30T00:00:00Z,Paris,Point(2.351388888 48.856944444),1863-01-17T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Alfred Nicolas Rambaud,LH/2262/68,1842-07-02T00:00:00Z,Besançon,Point(6.021388888 47.242222222),1905-11-10T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jacques Hadamard,19800035/408/54579,1865-12-08T00:00:00Z,Versailles,Point(2.134166666 48.804722222),1963-10-17T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Gaston Darboux,LH/658/46,1842-08-14T00:00:00Z,Nîmes,Point(4.36 43.836944444),1917-02-23T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jules Duboscq,LH/815/21,1817-03-05T00:00:00Z,Villaines-sous-Bois,Point(2.357777777 49.076944444),1886-09-24T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Héraclius de Gramont,LH/1185/32,1789-06-17T00:00:00Z,Versailles,Point(2.134166666 48.804722222),1855-03-03T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Eugène Poubelle,LH/2208/25,1831-04-15T00:00:00Z,Caen,Point(-0.370555555 49.182222222),1904-07-15T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Charles Hermite,LH/1293/72,1822-12-24T00:00:00Z,Dieuze,Point(6.719722222 48.812222222),1901-01-14T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jean-Victor Poncelet,LH/2195/37,1788-07-01T00:00:00Z,Metz,Point(6.176944444 49.119722222),1867-12-22T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Jean-Pierre Melville,19800035/1176/36112,1917-10-20T00:00:00Z,Paris,Point(2.351388888 48.856944444),1973-08-02T00:00:00Z,Paris,Point(2.351388888 48.856944444)
