leonoreid,images
LH/773/41,http://commons.wikimedia.org/wiki/Special:FilePath/Bayeux%20%2814%29%20Cath%C3%A9drale%20Notre-Dame%20Dalle%20fun%C3%A9raire%20de%20Mgr%20Charles%20Didiot.JPG
19800035/108/13643,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Hista.png
19800035/1405/62434,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Vall%C3%A9e%203.jpg
19800035/1147/31171,http://commons.wikimedia.org/wiki/Special:FilePath/Mon%20grand-p%C3%A8re%20Edmond%20Friedel%202.JPG
19800035/159/20359,http://commons.wikimedia.org/wiki/Special:FilePath/Monseigneur%20Pierre-Fourier%20Evrard.jpg
LH/62/56,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20g%C3%A9n%C3%A9ral%20de%20Brigade%20H.%20F.%20A%20Aub%C3%A9%20directeur%20des%20troupes%20coloniales.jpg
LH/1760/20,http://commons.wikimedia.org/wiki/Special:FilePath/Photo%20jacques.jpg
LH/1308/7,http://commons.wikimedia.org/wiki/Special:FilePath/Georges%20Hoog.jpg
LH/269/51,http://commons.wikimedia.org/wiki/Special:FilePath/BONNEFOY%281897%29%20p4.493%20BOIROT%20%28Antoine%29.jpg
LH/1927/22,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20de%20econoom%20C%C3%A9sar%20Moreau%2C%20RP-P-1911-884.jpg
LH/2720/12,http://commons.wikimedia.org/wiki/Special:FilePath/Villemot%2C%20Auguste.jpg
LH/12/60,http://commons.wikimedia.org/wiki/Special:FilePath/Edgar-Aim%C3%A9%20Seilli%C3%A8re%20%281835-1870%29.jpg
LH/1376/25,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Jouan.jpg
LH/1667/27,http://commons.wikimedia.org/wiki/Special:FilePath/Mgr%20Louvard%20en%20visite%20%C3%A0%20Biville.jpg
19800035/1064/22554,http://commons.wikimedia.org/wiki/Special:FilePath/1948-08-12%20-%20Dang%20Ngoc%20Chan.jpg | http://commons.wikimedia.org/wiki/Special:FilePath/1948-04-02%20-%20Dang%20Ngoc%20Chan.jpg
19800035/210/27623,http://commons.wikimedia.org/wiki/Special:FilePath/Adolphe%20Tavernier%201883.jpg
LH/2423/63,http://commons.wikimedia.org/wiki/Special:FilePath/Ruel%2C%20Xavier%20Francois.jpg
LH/116/31,http://commons.wikimedia.org/wiki/Special:FilePath/Buste%20de%20Barizel%20par%20Dantan.jpg
LH/216/77,http://commons.wikimedia.org/wiki/Special:FilePath/Bertrand%2C%20Edmond%20%28Univers%20illustr%C3%A9%2C%201893-04-29%29.jpg
LH/865/16,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20-%20La%20Sorbonne%2C%20M.%20A.%20Durand%2C%20Secr%C3%A9taire%20g%C3%A9n%C3%A9ral%20de%20l%27Universit%C3%A9%20CIPB0066.jpg
LH/2022/24,http://commons.wikimedia.org/wiki/Special:FilePath/Delaval%20-%20Michel-Ange%20d%27Ornano%20%281771-1859%29%2C%20consul%20de%20France%20au%20Maroc.jpg
19800035/914/6748,http://commons.wikimedia.org/wiki/Special:FilePath/Raymond-%C3%89mile%20Gervais%20Vanity%20Fair%207%20August%201902.jpg
19800035/1406/62509,http://commons.wikimedia.org/wiki/Special:FilePath/Robert-Philippe%20Dollfus%201975.jpg
19800035/164/21030,http://commons.wikimedia.org/wiki/Special:FilePath/Georges%20Couderc%20%281850-1928%29.jpg
LH/478/71,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Champy%2C%20d%C3%A9put%C3%A9%20en%201820.JPG
LH/2638/88,http://commons.wikimedia.org/wiki/Special:FilePath/Julien%20Turgan.jpg
LH/1568/20,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Marie%20Leissen%20Portrait%20complet.jpg
LH/1278/6,http://commons.wikimedia.org/wiki/Special:FilePath/Guillaume-Alfred%20Heinrich%20%281829-1887%29.jpg
LH/2663/45,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Marie%20Valentin-Duplantier%20def.jpg
19800035/106/13387,http://commons.wikimedia.org/wiki/Special:FilePath/Clarus%20%28Cri%20du%20peuple%2C%201885-10-28%29.jpg
LH/1281/73,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Hennecart%2C%20candidat%20du%20mar%C3%A9chal%20de%20Mac-Mahon%20%281877%29.jpg
LH/463/34,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Guillaume%20Chabalier.jpg
19800035/1149/31396,http://commons.wikimedia.org/wiki/Special:FilePath/81%20-%20Cl%C3%A9op%C3%A2tre%20Sevastos-Bourdelle%20-%20Luce%20Boyals%201930%20-%20Crayon%20sur%20papier%20-%20Mus%C3%A9e%20du%20Pays%20rabastinois%20inv.2004.1.6.jpg
LH/45/69,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Arboux2.jpg
LH/1536/40,http://commons.wikimedia.org/wiki/Special:FilePath/Casimir%20Leconte.jpg
19800035/1334/54717,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20sauvaire%20de%20barth%C3%A9l%C3%A9my.jpg
LH/1743/44,http://commons.wikimedia.org/wiki/Special:FilePath/Marion%2C%20Claude.jpg
LH/2354/2,http://commons.wikimedia.org/wiki/Special:FilePath/Alphonse%20Li%C3%A9bert%20-%20Albert%20Robin.jpg
LH/1333/23,http://commons.wikimedia.org/wiki/Special:FilePath/Camille%20Imbault.jpg
LH/2081/2,http://commons.wikimedia.org/wiki/Special:FilePath/Peign%C3%A9-Delacourt%20Achille.jpg
19800035/642/74168,http://commons.wikimedia.org/wiki/Special:FilePath/Th%C3%A9r%C3%A8se%20%281904%29.PNG
LH/215/19,http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Bertinot%20by%20Emile%20L%C3%A9vy.png
LH/811/54,http://commons.wikimedia.org/wiki/Special:FilePath/Marcel%20Dubois%20%281856-1916%29.jpg
LH/1369/71,http://commons.wikimedia.org/wiki/Special:FilePath/Jolibois%2C%20Pierre%20Alfred%20%28Phot.%20Pirou%29.jpg
LH/1075/29,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Gariod%20en%201874.jpg
LH/1721/4,http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7oisHippolyteD%C3%A9sir%C3%A9Mantion1825-1897.jpg
LH/1306/21,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20Josef%20Eugene%20Holl.jpg
LH/1767/58,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Martine%20Condorcet%20vers%201885.jpg
LH/2638/85,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20de%20Turenne%20par%20Nadar.jpg
LH/1087/68,http://commons.wikimedia.org/wiki/Special:FilePath/Maxime%20Gaucher%20groupe.jpg
LH/1563/61,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20du%20baron%20Alexandre%20Legros%20en%20costume%20de%20polytechnicien%2C%20par%20Pierre%20Duval%20Le%20Camus.jpg
LH/2276/38,http://commons.wikimedia.org/wiki/Special:FilePath/M.%20D%C3%A9sir%C3%A9%20R%C3%A9al%20del%20Sarte.jpg
LH/401/58,http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Cadart%20par%20Marcellin%20Desboutin.png
19800035/789/89220,http://commons.wikimedia.org/wiki/Special:FilePath/Ferdinand%20Heckenroth.jpg
LH/1229/26,http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%A9bastien%20Des%20Guidi.jpg
LH/599/7,http://commons.wikimedia.org/wiki/Special:FilePath/Coste%20wiki.jpg
LH/1274/25,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Bastien-Lepage%20-%20Simon%20Hayem%2001.jpg
LH/2619/64,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20de%20Joseph%20Tournois%20par%20Charles-Auguste%20Sellier.jpg
LH/1135/27,http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois%20Gillet.jpg
LH/1212/27,http://commons.wikimedia.org/wiki/Special:FilePath/Une%20le%C3%A7on%20clinique%20%C3%A0%20la%20Salp%C3%AAtri%C3%A8re.jpg
19800035/55/6665,http://commons.wikimedia.org/wiki/Special:FilePath/Bapt%C3%A8me%20de%20la%20promotion%20Arrachart%20%C3%A0%20Istres%20-%20le%20Colonel%20Baltus%20passe%20la%20revue%20de%20la%20promotion%20%28cropped%29.jpg
LH/2398/31,http://commons.wikimedia.org/wiki/Special:FilePath/Gaston%20Roullet.png
19800035/391/52439,http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%A9n%C3%A9ral%20Braconnier%2C%201932%20%28cropped%29.jpg
19800035/185/23985,http://commons.wikimedia.org/wiki/Special:FilePath/Ferdinand%20Pi%C3%A9chaud.jpg
19800035/103/12945,http://commons.wikimedia.org/wiki/Special:FilePath/Abb%C3%A9%20hermet.jpg
LH/1580/61,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Lemire%20en%201900.jpg
LH/1295/9,http://commons.wikimedia.org/wiki/Special:FilePath/Alphonse%20Herrgott.jpg
19800035/298/40044,http://commons.wikimedia.org/wiki/Special:FilePath/Mme%20Jehan%20d%27Ivray%20en%20dame%20%C3%A9gyptienne.jpg
LH/916/65,http://commons.wikimedia.org/wiki/Special:FilePath/Xavier%20Eyma.JPEG
19800035/772/87483,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20g%C3%A9n%C3%A9ral%20Appiano%2C%20commandant%20sup%C3%A9rieur%20du%20g%C3%A9nie%20du.jpg
LH/2470/27,http://commons.wikimedia.org/wiki/Special:FilePath/Adrien%20Sauzay%20Etaples.jpg
LH/388/34,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Bucquoy%20CIPB0459.jpg
LH/124/15,http://commons.wikimedia.org/wiki/Special:FilePath/Augustin-F%C3%A9lix-Elisabeth%20Barrin%20La%20Galissonni%C3%A8re.jpg
19800035/1466/69626,http://commons.wikimedia.org/wiki/Special:FilePath/Georges%20Cormier%2C%20vainqueur%20des%20motocycles%20au%20Rallye%20Papiers%2C%20en%201899.jpg
19800035/44/5465,http://commons.wikimedia.org/wiki/Special:FilePath/L%C3%A9on%20Ruffe%20photo%20portrait.png
LH/2214/2,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20%C3%89douard%20Pouradier-Duteil%201914.jpg
LH/139/10,http://commons.wikimedia.org/wiki/Special:FilePath/Edgar%20Baudelet%20de%20Livois.jpg
LH/8/75,http://commons.wikimedia.org/wiki/Special:FilePath/%28Recueil.%20Portraits%20de%20Jean%20Louis%20Admyrauld%20%28XVIIIe-XIXe%20s.%29%29.jpg
19800035/583/66126,http://commons.wikimedia.org/wiki/Special:FilePath/Cadenat%2C%20Firmin%20Marc%20CIPB1689.jpg
LH/2244/66,http://commons.wikimedia.org/wiki/Special:FilePath/Fernand%20Quiquandon.jpg
LH/2638/27,http://commons.wikimedia.org/wiki/Special:FilePath/Tupinier.jpg
LH/2395/58,http://commons.wikimedia.org/wiki/Special:FilePath/Louis-Auguste%20Rougier.jpg
LH/268/76,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20%C3%89mile%20Boil%C3%A8ve.jpg
19800035/717/81659,http://commons.wikimedia.org/wiki/Special:FilePath/Ren%C3%A9%20Champoiseau%20at%20the%201914%20French%20Grand%20Prix%20%28cropped%29.jpg
LH/962/9,http://commons.wikimedia.org/wiki/Special:FilePath/Camille%20Ferri-Pisani.png
LH/197/68,http://commons.wikimedia.org/wiki/Special:FilePath/Bernard%2C%20L%C3%A9on%20CIPB1868.jpg
LH/1716/57,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Mangin%20%28cropped%29.jpg
LH/1894/42,http://commons.wikimedia.org/wiki/Special:FilePath/Moigno%2C%20abb%C3%A9%20Fran%C3%A7ois%2C%20Nadar%2C%20Gallica.jpg
LH/585/30,http://commons.wikimedia.org/wiki/Special:FilePath/88e%20r%C3%A9giment%20de%20mobiles%20d%27Indre-et-Loire.jpg
LH/1932/48,http://commons.wikimedia.org/wiki/Special:FilePath/Karpff%20-%20Portrait%20du%20Docteur%20Morel%20%28ca%201799%29.jpg
19800035/991/14727,http://commons.wikimedia.org/wiki/Special:FilePath/Edmond%20Sergent.%20Photograph%20by%20Genia%20Reinberg.%20Wellcome%20V0028022.jpg
LH/1331/51,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Huyot-%20graveur.png
LH/544/53,http://commons.wikimedia.org/wiki/Special:FilePath/Claude-Hippolyte%20CC%281769-1857%29.jpg
LH/1192/25,http://commons.wikimedia.org/wiki/Special:FilePath/A.%20Grasset.jpg
LH/2140/7,http://commons.wikimedia.org/wiki/Special:FilePath/Philiparie%20%28Univers%20illustr%C3%A9%2C%201893-04-15%29.jpg
LH/698/75,http://commons.wikimedia.org/wiki/Special:FilePath/Jullien%20Joseph%20de%20Lalande.jpg
LH/1324/30,http://commons.wikimedia.org/wiki/Special:FilePath/Baron%20Etienne%20Hulot%20-%20Nadar.jpg
19800035/1026/18459,http://commons.wikimedia.org/wiki/Special:FilePath/Pruvost%2C%20Pierre%20CIPB1795.jpg
LH/2744/2,http://commons.wikimedia.org/wiki/Special:FilePath/Waidmann%2C%20Marc%20Joseph%20%28par%20son%20fils%29.jpg
LH/529/44,http://commons.wikimedia.org/wiki/Special:FilePath/111-SC-35956%20-%20NARA%20-%2055231092-cropped.jpg
LH/581/43,http://commons.wikimedia.org/wiki/Special:FilePath/Amiral%20Alfred%20Conrad.jpg
LH/2730/44,http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%A9n%C3%A9ral%20Raoul%20Voruz.jpg
19800035/547/62508,http://commons.wikimedia.org/wiki/Special:FilePath/Vicomte%20de%20la%20Panouse%20in%201916.png
LH/1216/15,http://commons.wikimedia.org/wiki/Special:FilePath/Lucien%20Gu%C3%A9neau%202.png
LH/906/57,http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%A9n%C3%A9ral%20Espinasse.jpg
LH/1985/16,http://commons.wikimedia.org/wiki/Special:FilePath/Nicaise%2C%20Edmond%20%281838-1896%29%20CIPA0361.jpg
LH/1685/26,http://commons.wikimedia.org/wiki/Special:FilePath/Magitot%2C%20Emile%20%28Panth%C3%A9on%20de%20l%27industrie%2C%201880-01-04%29.jpg
LH/2463/44,http://commons.wikimedia.org/wiki/Special:FilePath/Sauger%2C%20Gustave%20%28cl.%20Charles%29.jpg
LH/779/42,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Dior%20%281837%20-%201904%29.jpg
