leonoreid,metier
LH/1516/80,officier
LH/1799/22,officier
LH/950/27,officier
LH/150/12,officier
LH/150/12,officier
LH/998/41,officier
LH/1115/16,zoologiste
LH/329/8,dramaturge
LH/2698/61,dramaturge
LH/2698/61,dramaturge
LH/327/46,dramaturge
LH/75/1,dramaturge
LH/1017/66,dramaturge
LH/1304/70,historien
LH/128/77,pianiste
LH/1017/66,traducteur
19800035/763/86686,historien
19800035/92/11495,historien
LH/1095/15,historien
LH/2573/72,géologue
19800035/882/3412,traducteur
19800035/939/9305,artiste
19800035/939/9305,artiste
LH/194/69,psychologue
19800035/293/39409,géologue
LH/1391/20,chimiste
LH/1856/45,chimiste
LH/2573/72,prêtre catholique
LH/1054/11,graveur
19800035/1463/69262,graveur
LH/1943/17,inventeur
19800035/1246/43838,pianiste
LH/6/20,pianiste
19800035/399/53418,pianiste
LH/1778/38,pianiste
C/0/37,prêtre catholique
C/0/37,prêtre catholique
LH/159/66,biologiste
LH/2395/8,dramaturge
LH/327/46,prête-plume
LH/75/1,dramaturge de production
LH/563/70,organiste
LH/811/49,organiste
LH/1684/51,neurologue
C/0/66,chimiste
LH/194/69,médecin écrivain
LH/2234/13,pianiste
LH/2098/68,banquier
LH/2098/68,banquier
LH/1095/15,archiviste
LH/1967/9,arabisant
19800035/1319/52647,arabisant
LH/2288/42,traducteur
LH/159/66,chimiste
19800035/549/62762,traducteur
LH/2149/33,traducteur
LH/2500/3,traducteur
19800035/789/89205,chirurgien
19800035/939/9305,illustrateur
19800035/939/9305,illustrateur
19800035/1463/69262,illustrateur
19800035/399/53418,musicien
LH/128/77,musicien
LH/2755/18,illustrateur
LH/1928/29,sculpteur
LH/1272/25,haut fonctionnaire
LH/1943/17,sculpteur
LH/2028/39,zoologiste
19800035/1175/36082,peintre
LH/360/55,peintre
LH/116/6,jardinier
LH/1037/84,peintre
LH/2755/18,peintre
LH/1928/29,peintre
19800035/223/29449,peintre
LH/713/3,organiste
LH/1269/8,peintre
LH/1786/54,peintre
LH/40/16,illustrateur
LH/2395/8,auteur-compositeur
LH/40/16,peintre
LH/1943/17,peintre
LH/673/3,peintre
LH/1358/60,espérantiste
LH/1358/60,espérantiste
19800035/1193/37996,biographe
19800035/789/89205,biologiste
LH/1115/16,biologiste
LH/1778/38,organiste
LH/1054/11,peintre
LH/665/84,peintre
19800035/939/9305,peintre
19800035/939/9305,peintre
LH/718/50,peintre
19800035/1463/69262,peintre
19800035/463/61865,professeur d'université
C/0/66,professeur d'université
LH/713/3,professeur d'université
LH/2288/42,historien de l'art
LH/713/3,musicien
LH/329/8,journaliste
LH/2663/59,journaliste
19800035/902/5503,journaliste
LH/128/77,pédagogue
19800035/1472/70459,sculpteur
19800035/882/3412,pédagogue
LH/1115/16,ornithologue
19800035/1189/37552,sculpteur
LH/194/23,sculpteur
19800035/1463/69262,sculpteur
LH/1157/63,sculpteur
LH/2755/18,artiste graphique
LH/1394/42,conseiller de rédaction
19800035/390/52315,biologiste
LH/2637/89,professeur d'université
LH/1943/17,professeur d'université
19800035/435/58224,professeur d'université
LH/2185/72,professeur d'université
LH/128/77,professeur d'université
LH/2028/39,ornithologue
19800035/293/39409,paléontologue
19800035/92/11495,historien de l'art
LH/665/84,artiste graphique
19800035/1463/69262,artiste graphique
LH/1967/9,orientaliste
LH/1894/32,orientaliste
LH/371/72,paléontologue
LH/371/72,botaniste
19800035/435/58224,sociologue
19800035/763/86686,professeur d'université
19800035/173/22332,résistant
LH/1581/45,professeur d'université
19800035/92/11495,professeur d'université
LH/2119/30,professeur d'université
LH/2149/33,professeur d'université
LH/1856/45,philosophe
19800035/763/86686,germaniste
LH/1826/2,aventurier
LH/2383/64,officier de la Marine française
LH/1244/25,archéologue
LH/128/77,chorégraphe
LH/2149/33,romaniste
19800035/789/89205,sociologue
LH/1394/42,journaliste
C/0/11,journaliste
19800035/1246/43838,critique musical
LH/6/20,critique musical
LH/2177/32,paléontologue
LH/2185/72,chercheur
LH/2573/72,paléontologue
LH/1081/36,aviateur
LH/194/69,physiologiste
LH/116/6,horticulteur
LH/2288/42,archéologue
LH/1157/63,philosophe
LH/397/77,artiste lyrique
LH/128/77,entomologiste
LH/811/49,professeur d'université
19800035/35/4407,professeur d'université
19800035/399/53418,chorégraphe
LH/1270/15,érudit classique
LH/1506/1,microbiologiste
LH/2190/11,statisticien
LH/1394/42,critique littéraire
LH/1575/63,critique littéraire
19800035/789/89205,physiologiste
LH/1270/15,archéologue
LH/1017/66,journaliste
19800035/1193/37996,journaliste
LH/1157/63,journaliste
LH/1786/54,professeur d'université
LH/2190/11,professeur d'université
LH/1778/38,professeur d'université
LH/1244/25,collectionneur d'œuvres d'art
LH/1112/44,explorateur
LH/1358/23,officier de la Marine française
LH/1358/23,officier de la Marine française
LH/1151/47,botaniste
LH/1967/9,philosophe
LH/2185/72,philosophe
19800035/267/35687,hydrographe
LH/1244/25,industriel
LH/1625/1,pilote automobile
19800035/722/82176,historien de la littérature
LH/397/77,musicologue
LH/128/77,musicologue
LH/2698/61,librettiste
LH/2698/61,librettiste
LH/2663/59,philosophe
19800035/722/82176,romaniste
LH/301/13,éditeur
19800035/722/82176,critique littéraire
LH/1358/60,ophtalmologue
LH/1358/60,ophtalmologue
LH/1581/45,ingénieur civil
LH/2005/21,ingénieur civil
LH/1856/45,philosophe des sciences
LH/116/6,architecte paysagiste
LH/2755/18,aquafortiste
LH/2755/18,graveur
LH/2573/72,philosophe
19800035/1044/20411,essayiste
LH/1819/20,scénariste
LH/329/8,romancier
LH/1304/70,lexicographe
19800035/1463/69262,artiste visuel
LH/1157/63,anthropologue
LH/1394/42,romancier
LH/1358/23,administrateur colonial
LH/1358/23,administrateur colonial
19800035/1463/69262,aquarelliste
19800035/902/5503,romancier
19800035/340/45768,magicien
LH/563/70,hautboïste
LH/1984/13,astronome
LH/329/8,essayiste
LH/2663/59,essayiste
LH/329/8,critique littéraire
LH/2663/59,critique littéraire
19800035/902/5503,critique d'art
19800035/722/82176,romancier
LH/243/6,collectionneur d'œuvres d'art
LH/397/77,professeur de chant
19800035/643/74259,pilote automobile
19800035/939/9305,graveur
19800035/939/9305,graveur
LH/1947/59,astronome
LH/842/77,scientifique
LH/2322/23,photographe
LH/646/53,photographe
LH/1645/23,photographe
LH/1991/2,photographe
LH/594/20,photographe
LH/1819/20,acteur
LH/1270/15,helléniste
LH/2185/72,topologue
LH/301/13,imprimeur-libraire
LH/397/77,professeur de musique
LH/128/77,professeur de musique
LH/1269/8,graveur
LH/2220/73,prosateur
LH/1454/70,prosateur
LH/2220/73,ministre des Affaires étrangères
LH/1454/70,ministre des Affaires étrangères
19800035/399/53418,librettiste
LH/1778/38,librettiste
LH/1017/66,romancier
19800035/1193/37996,romancier
LH/2766/3,marchand d'armes
19800035/20/2522,résistant
LH/2500/3,indianiste
19800035/1246/43838,musicologue
LH/1506/1,parasitologue
LH/1778/38,musicologue
LH/1684/51,physiologiste
LH/2288/42,linguiste
LH/1081/36,joueur de rugby à XV
LH/2288/42,anthropologue
LH/811/49,théoricien de la musique
LH/811/49,professeur de musique
LH/811/49,musicologue
19800035/1463/69262,dessinateur en bâtiment
19800035/1246/43838,professeur de musique
LH/6/20,professeur de musique
LH/1778/38,professeur de musique
19800035/939/9305,dessinateur
19800035/939/9305,dessinateur
LH/194/23,dessinateur
LH/2692/9,photographe
LH/7/49,naturaliste
LH/2234/13,professeur de musique
LH/2413/22,immunologiste
LH/2413/22,bactériologiste
19800035/1246/43838,musicien de jazz
LH/2288/42,musicologue
19800035/902/5503,musicologue
19800035/463/61865,musicologue
19800035/551/62914,écrivain
LH/2490/10,écrivain
19800035/301/40444,acteur
LH/1952/38,acteur
19800035/1067/22835,acteur
LH/1346/32,naturaliste
LH/6/20,critique
LH/2755/18,lithographe
19800035/463/61865,historien de la musique
LH/658/46,écrivain
19800035/1301/50196,écrivain
LH/842/3,écrivain
LH/1509/35,écrivain
19800035/1246/43838,autobiographe
LH/2220/73,autobiographe
LH/1454/70,autobiographe
LH/815/21,photographe
19800035/295/39704,astronome
LH/1837/26,écrivain
LH/1984/13,écrivain
LH/1394/42,fleuriste
19800035/1106/26748,compositeur
19800035/1222/41059,compositeur
LH/2490/10,compositeur
19800035/702/80144,résistant
LH/665/84,peintre de paysage
LH/1404/84,scientifique
LH/2110/21,compositeur
LH/2141/57,compositeur
LH/2442/36,compositeur
LH/315/87,militaire
LH/315/87,militaire
LH/2556/43,militaire
C/0/33,militaire
LH/1430/55,militaire
19800035/106/13288,militaire
LH/1685/20,militaire
LH/1630/26,militaire
LH/2465/49,militaire
LH/711/23,écrivain
19800035/10/1292,écrivain
LH/575/62,écrivain
LH/1268/60,médecin
19800035/1423/64586,médecin
LH/776/39,médecin
LH/161/78,médecin
LH/1270/15,philologue classique
LH/2185/72,philosophe des sciences
LH/128/77,ethnomusicologue
19800035/463/61865,professeur de musique
LH/2573/72,paléoanthropologue
19800035/898/5032,diariste
LH/44/13,philanthrope
LH/1133/7,médecin
LH/540/23,médecin
19800035/1294/49646,médecin
19800035/764/86868,architecte
LH/172/43,compositeur
19800035/1176/36112,acteur
19800035/424/56686,écrivain
19800035/172/22143,écrivain
LH/2784/29,écrivain
LH/2141/57,écrivain
LH/2611/56,écrivain
LH/2784/29,avocat
LH/1557/69,écrivain
LH/48/18,écrivain
LH/1876/60,écrivain
LH/269/80,écrivain
LH/1471/13,écrivain
19800035/1067/22835,écrivain
LH/2213/75,écrivain
19800035/1235/42593,compositeur
LH/653/1,compositeur
LH/2522/74,compositeur
LH/1158/15,compositeur
LH/1984/13,enseignant
19800035/551/62914,poète
C/0/23,scénariste
19800035/1176/36112,scénariste
LH/1509/35,scénariste
19800035/23/2963,personnalité du monde des affaires
LH/770/6,militaire
19800035/198/25889,militaire
LH/1396/35,militaire
LH/1967/64,militaire
LH/2221/11,médecin
LH/1087/69,médecin
LH/346/15,médecin
LH/2213/75,médecin
LH/2322/23,personnalité du monde des affaires
19800035/172/22143,poète
LH/2732/22,architecte
LH/906/15,architecte
LH/1926/25,militaire
LH/2587/64,militaire
LH/2587/64,militaire
LH/2461/44,militaire
LH/1493/30,militaire
19800035/706/80585,avocat
LH/366/46,avocat
LH/2208/25,avocat
C/0/9,avocat
19800035/240/31926,personnalité du monde des affaires
LH/2464/35,ingénieur
LH/161/76,ingénieur
LH/360/77,avocat
LH/2515/33,architecte
LH/1014/22,ingénieur
19800035/23/2963,ingénieur
LH/852/55,ingénieur
LH/2567/46,militaire
19800035/139/17572,militaire
LH/403/39,militaire
LH/2037/44,personnalité politique
C/0/7,personnalité politique
LH/315/87,personnalité politique
LH/315/87,personnalité politique
LH/1360/85,personnalité politique
LH/1360/85,personnalité politique
LH/2556/43,personnalité politique
LH/2464/35,personnalité politique
LH/161/76,personnalité politique
LH/1430/55,personnalité politique
19800035/106/13288,personnalité politique
LH/1685/20,personnalité politique
LH/1630/26,personnalité politique
LH/2465/49,personnalité politique
C/0/75,personnalité politique
LH/770/6,personnalité politique
LH/2784/29,personnalité politique
LH/1396/35,personnalité politique
LH/2611/56,personnalité politique
19800035/290/38935,personnalité politique
LH/1967/64,personnalité politique
19800035/240/31926,ingénieur
LH/2195/37,ingénieur
C/0/4,militaire
LH/2692/9,militaire
LH/1185/32,militaire
LH/1509/35,militaire
19800035/436/58318,pharmacien
C/0/23,ingénieur
LH/48/18,poète
LH/1471/13,poète
LH/1645/23,professeur
19800035/290/38935,professeur
LH/2587/64,personnalité politique
LH/2587/64,personnalité politique
LH/1014/22,personnalité politique
19800035/279/37428,personnalité politique
19800035/807/91641,personnalité politique
LH/1404/84,personnalité politique
LH/632/87,personnalité politique
19800035/1386/60093,ingénieur
LH/869/40,ingénieur
LH/2145/41,ingénieur
LH/2282/45,ingénieur
LH/2322/23,entrepreneur
C/0/4,personnalité politique
LH/1837/26,personnalité politique
C/0/23,personnalité politique
LH/1154/28,personnalité politique
19800035/706/80585,personnalité politique
LH/2262/68,personnalité politique
LH/842/77,personnalité politique
19800035/240/31926,personnalité politique
LH/2208/25,personnalité politique
19800035/685/78448,personnalité politique
LH/2195/37,personnalité politique
C/0/9,personnalité politique
LH/1645/23,physicien
LH/1991/2,physicien
19800035/290/38935,physicien
19800035/23/2963,entrepreneur
LH/2330/67,personnalité politique
LH/351/44,personnalité politique
19800035/139/17572,personnalité politique
LH/2145/41,personnalité politique
LH/1020/59,personnalité politique
LH/1020/59,personnalité politique
LH/1136/35,personnalité politique
LH/403/39,personnalité politique
19800035/295/39704,physicien
LH/2442/36,chef d'orchestre
LH/653/1,chef d'orchestre
LH/2461/44,chef d'orchestre
19800035/85/10631,ingénieur militaire
LH/2037/44,professeur
LH/218/40,professeur
LH/2073/48,professeur
19800035/89/11136,professeur
LH/1393/55,rabbin
LH/2611/56,juriste
LH/2587/64,diplomate
LH/2587/64,diplomate
LH/1345/76,diplomate
LH/1404/84,diplomate
LH/632/87,diplomate
LH/2178/59,officier
LH/1396/35,officier
LH/1967/64,officier
LH/975/37,officier
19800035/198/25889,diplomate
LH/1268/60,diplomate
LH/2784/29,diplomate
LH/2037/44,mathématicien
LH/218/40,mathématicien
LH/499/16,mathématicien
LH/849/78,juriste
LH/2745/26,économiste
LH/849/78,économiste
LH/161/76,physicien
LH/499/16,physicien
LH/161/78,physicien
LH/2508/47,pharmacien
LH/2233/51,pharmacien
LH/842/77,pharmacien
LH/1557/69,professeur
LH/218/40,économiste
19800035/89/11136,bibliothécaire
19800035/611/68972,historien
LH/575/62,historien
19800035/408/54579,professeur
LH/658/46,professeur
LH/2195/37,professeur
LH/2322/23,inventeur
LH/646/53,inventeur
LH/1645/23,inventeur
LH/476/65,officier
LH/1430/55,officier
19800035/106/13288,officier
LH/364/79,officier
LH/2465/49,officier
19800035/238/31620,officier
LH/1947/59,officier
19800035/1423/64586,psychologue
19800035/10/1292,fonctionnaire
19800035/424/56686,dramaturge
LH/2141/57,dramaturge
LH/2330/67,diplomate
LH/403/39,diplomate
LH/2213/75,diplomate
19800035/280/37471,psychologue
19800035/1294/49646,psychologue
LH/711/23,dramaturge
C/0/7,diplomate
LH/1360/85,diplomate
LH/1360/85,diplomate
C/0/23,entrepreneur
LH/2195/37,ingénieur militaire
LH/2195/37,physicien
LH/2671/45,historien
LH/1557/69,historien
LH/269/80,historien
LH/1323/53,historien
LH/2213/75,historien
LH/1471/13,bibliothécaire
LH/2282/45,horloger
LH/246/68,as de l'aviation
19800035/1423/64586,psychiatre
LH/378/96,prêtre catholique
LH/2442/36,pianiste
19800035/10/1292,traducteur
19800035/172/22143,traducteur
LH/540/23,chirurgien
LH/1984/13,mathématicien
19800035/408/54579,mathématicien
LH/658/46,mathématicien
LH/1293/72,mathématicien
LH/2195/37,mathématicien
19800035/551/62914,dramaturge
LH/2490/10,dramaturge
LH/2073/48,traducteur
LH/590/20,chimiste
LH/2282/45,inventeur
LH/646/53,chimiste
19800035/436/58318,chimiste
LH/2110/21,chimiste
LH/1991/2,chimiste
19800035/290/38935,chimiste
LH/1285/5,graveur
19800035/89/11136,archiviste
LH/1819/20,directeur de la photographie
LH/161/76,chimiste
LH/1158/15,altiste
LH/1405/42,peintre
LH/438/90,peintre
LH/2401/65,peintre
LH/1984/13,économiste
LH/1468/91,prêtre catholique
LH/1557/69,traducteur
LH/1471/13,traducteur
19800035/1106/26748,organiste
LH/48/18,dramaturge
LH/1876/60,dramaturge
19800035/1067/22835,dramaturge
19800035/280/37471,professeur d'université
LH/590/20,professeur d'université
LH/1005/33,professeur d'université
19800035/611/68972,professeur d'université
19800035/1195/38160,professeur d'université
19800035/1131/29550,professeur d'université
19800035/1294/49646,professeur d'université
LH/2461/44,professeur d'université
LH/575/62,professeur d'université
LH/1404/84,professeur d'université
19800035/424/56686,archiviste
LH/2442/36,musicien
LH/675/37,officier
C/0/4,officier
LH/1185/32,officier
LH/776/39,chirurgien
LH/1819/20,animateur
LH/1154/28,diplomate
LH/2262/68,diplomate
LH/2208/25,diplomate
LH/1346/32,zoologiste
19800035/89/11136,historien
19800035/245/32539,sculpteur
19800035/764/86868,sculpteur
LH/1310/85,sculpteur
LH/251/70,sculpteur
LH/780/74,chimiste
LH/2508/47,chimiste
19800035/1222/41059,professeur d'université
LH/161/76,professeur d'université
LH/499/16,professeur d'université
19800035/594/67253,professeur d'université
19800035/1106/26748,pédagogue
LH/1837/26,historien
LH/2262/68,historien
LH/1435/59,peintre
LH/646/53,peintre
LH/594/20,peintre
LH/2110/21,professeur d'université
LH/776/39,professeur d'université
19800035/290/38935,professeur d'université
LH/2442/36,critique musical
LH/1819/20,cinéaste
LH/2221/11,chirurgien
LH/346/15,chirurgien
LH/1947/59,géographe
LH/646/53,artiste graphique
LH/711/23,journaliste
LH/849/78,journaliste
LH/1471/13,auteur
LH/653/1,directeur musical
LH/653/1,violoniste
C/0/23,inventeur
LH/2213/75,historien de l'art
19800035/28/3530,professeur d'université
19800035/1195/38160,anthropologue
19800035/1131/29550,anthropologue
LH/1631/25,géologue
19800035/279/37428,aviateur
LH/1493/30,aviateur
LH/1837/26,dramaturge
LH/842/3,dramaturge
19800035/1195/38160,historien de l'art
19800035/1131/29550,historien de l'art
19800035/1009/16596,historien de l'art
LH/429/23,sculpteur
LH/7/49,botaniste
LH/1346/32,ornithologue
19800035/198/25889,aviateur
LH/378/96,chanoine
19800035/1301/50196,humoriste
LH/1346/32,médecin de bord
LH/1027/80,graveur
LH/2442/36,organiste
LH/776/39,pathologiste
LH/711/23,auteur de littérature pour la jeunesse
19800035/245/32539,designer
LH/1310/85,médailleur
LH/354/63,colon
LH/2472/49,colon
LH/842/3,dramaturge de production
LH/1837/26,traducteur
LH/2784/29,journaliste
19800035/755/85630,journaliste
LH/7/49,mycologue
LH/7/49,entomologiste
19800035/89/11136,romaniste
LH/476/65,coureur de fond
LH/2611/56,sociologue
19800035/764/86868,designer
LH/2568/4,philosophe
19800035/594/67253,philosophe
19800035/1195/38160,archéologue
19800035/1131/29550,archéologue
19800035/1009/16596,archéologue
LH/1404/84,bibliothécaire de droit
19800035/10/1292,critique littéraire
LH/1455/17,acteur de théâtre
LH/2568/4,criminologue
LH/2233/51,aérostier
LH/1837/26,peintre
LH/2692/9,peintre
LH/2233/51,chimiste
LH/842/77,chimiste
LH/366/46,socialite
19800035/1423/64586,philosophe
LH/2611/56,philosophe
LH/48/18,journaliste
LH/1876/60,journaliste
LH/1346/32,botaniste
19800035/28/3530,botaniste
LH/1819/20,producteur de cinéma
19800035/1386/60093,aviateur
19800035/436/58318,biochimiste
19800035/1423/64586,psychanalyste
19800035/755/85630,chef cuisinier
LH/1819/20,réalisateur
LH/1005/33,épigraphiste
LH/1005/33,archéologue classique
LH/2461/44,professeur de musique
LH/2322/23,industriel
LH/2141/57,romancier
LH/2141/57,librettiste
19800035/1294/49646,philosophe
19800035/279/37428,pilote automobile
LH/2490/10,librettiste
LH/438/90,aquafortiste
LH/7/49,explorateur
LH/354/63,explorateur
LH/2472/49,explorateur
LH/1268/60,explorateur
LH/7/49,anthropologue
LH/1557/69,folkloriste
19800035/551/62914,romancier
LH/1293/72,maître de conférences
19800035/551/62914,essayiste
LH/306/7,graveur
19800035/172/22143,critique littéraire
LH/1876/60,librettiste
LH/2461/44,musicologue
LH/2262/68,professeur d'université
LH/1984/13,professeur d'université
LH/842/77,professeur d'université
LH/1293/72,professeur d'université
19800035/1301/50196,acteur de théâtre
C/0/23,producteur de cinéma
LH/1154/28,statisticien
19800035/1176/36112,producteur de cinéma
19800035/245/32539,céramiste
LH/1005/33,professeur d'enseignement secondaire
LH/48/18,romancier
19800035/1067/22835,romancier
19800035/611/68972,linguiste
LH/2110/21,physicien théoricien
19800035/172/22143,diariste
19800035/1283/48075,écrivain
LH/312/74,écrivain
LH/877/45,écrivain
LH/126/69,écrivain
LH/530/34,écrivain
LH/1721/56,écrivain
C/0/23,aviateur
LH/2077/45,inspecteur général de l'Éducation nationale
LH/711/23,écrivain de science-fiction
LH/1005/33,historien des religions
LH/2330/67,officier de la Marine française
LH/2213/75,archéologue
19800035/706/80585,journaliste
LH/2692/9,artiste graphique
LH/366/46,journaliste
LH/2213/75,anthropologue
LH/540/23,urologue
LH/1005/33,philologue classique
19800035/172/22143,essayiste
LH/594/20,graveur
19800035/89/11169,maire
19800035/594/67253,historien des sciences
LH/2728/54,écrivain
LH/1198/11,écrivain
LH/1547/64,écrivain
LH/594/20,dessinateur
19800035/290/38935,physicien nucléaire
LH/346/15,anatomiste
19800035/89/11136,historien de la littérature
LH/306/7,graveur sur cuivre
19800035/1176/36112,réalisateur
LH/2568/4,psychologue social
LH/7/49,ptéridologue
LH/499/16,historien des mathématiques
LH/364/79,administrateur colonial
LH/1405/42,peintre de paysage
19800035/10/1292,résistant
LH/1005/33,helléniste
LH/1005/33,historien de l'Antiquité classique
19800035/279/37428,résistant
19800035/85/10631,résistant
19800035/807/91641,résistant
